Start Running : 2023-08-31 14:41:28
BYR-G148: 4.296s
BYR-G224: 4.460s
BYR-G028: 4.904s
BYR-G237: 5.131s
BYR-G004: 5.196s
BYR-G301: 5.487s
BYR-G034: 5.536s
BYR-G260: 5.582s
BYR-G236: 5.738s
BYR-G242: 5.758s
BYR-G305: 5.786s
BYR-G113: 5.924s
BYR-G143: 5.961s
BYR-G146: 5.975s
BYR-G049: 5.999s
BYR-G244: 6.023s
BYR-G156: 6.179s
BYR-G026: 6.217s
BYR-G020: 6.231s
BYR-G174: 6.235s
BYR-G219: 6.555s
BYR-G089: 6.640s
BYR-G005: 6.724s
BYR-G116: 6.813s
BYR-G218: 7.050s
BYR-G027: 7.069s
BYR-G259: 7.073s
BYR-G158: 7.078s
BYR-G241: 7.619s
BYR-G232: 7.874s
BYR-G030: 7.899s
BYR-G234: 9.671s
BYR-G165: 10.494s
BYR-G149: 10.893s
BYR-G177: 12.417s
BYR-G092: 13.337s
BYR-G245: 14.234s
BYR-G025: 19.593s
BYR-G801: 22.472s
BYR-G157: 23.205s
BYR-G009: 40.758s
BYR-G050: 54.649s
BYR-G029: 59.650s
BYR-G105: 1:13.701 (m:ss.mmm)
BYR-G080: 1:20.887 (m:ss.mmm)
