Tanggal|Sql_Start|Initial|Mulai|File|Database|Program|Memory|Corrupt|Selesai|Durasi|addid|toko|kdcab
2024-11-19|2024-11-20 05:51:31|05:58:33|05:58:36|14:36:13|05:59:01|00:00:00|00:00:00|00:00:00|14:36:13|08:37:37|kasir@127.0.0.1|T3QQ|G301
2024-11-19|2024-11-20 06:26:46|06:34:46|06:41:48|00:00:00|06:42:13|00:00:00|00:00:00|00:00:00|06:55:11|00:13:23|kasir@10.71.146.131|TJQT|G148
2024-11-19|2024-11-20 06:43:52|06:40:30|06:40:33|00:00:00|06:40:57|00:00:00|00:00:00|00:00:00|06:48:12|00:07:39|kasir@127.0.0.1|TCAJ|G004
2024-11-19|2024-11-20 06:44:16|06:49:18|06:49:21|00:00:00|06:49:46|00:00:00|00:00:00|00:00:00|06:54:04|00:04:43|kasir@127.0.0.1|TKLD|G146
2024-11-19|2024-11-19 06:32:54|06:37:00|07:04:11|00:00:00|07:04:13|00:00:00|00:00:00|00:00:00|07:08:55|00:04:44|kasir@127.0.0.1|F3QQ|G034
2024-11-19|2024-11-20 06:16:56|06:36:59|06:37:27|06:42:56|06:41:49|00:00:00|00:00:00|00:00:00|06:42:56|00:05:29|kasir@10.71.149.3|FCC2|G148
2024-11-19|2024-11-20 06:19:49|06:32:39|06:32:42|00:00:00|06:33:07|00:00:00|00:00:00|00:00:00|06:41:04|00:08:22|kasir@127.0.0.1|T01Y|G158
2024-11-19|2024-11-20 06:17:26|06:33:21|06:33:24|00:00:00|06:33:50|00:00:00|00:00:00|00:00:00|06:41:39|00:08:15|kasir@127.0.0.1|TKLN|G025
2024-11-19|2024-11-20 06:50:02|06:44:47|06:44:50|00:00:00|06:45:14|00:00:00|00:00:00|00:00:00|06:50:22|00:05:32|kasir@127.0.0.1|TTVC|G177
2024-11-19|2024-11-20 06:37:02|06:43:05|06:43:08|00:00:00|06:43:32|00:00:00|00:00:00|00:00:00|06:50:23|00:07:15|kasir@127.0.0.1|FD9Y|G305
2024-11-19|2024-11-20 06:16:42|06:28:55|06:29:08|00:00:00|06:39:09|00:00:00|00:00:00|00:00:00|06:39:03|00:09:55|kasir@127.0.0.1|TYEU|G305
2024-11-19|2024-11-20 06:21:53|06:21:27|06:21:30|00:00:00|06:21:34|00:00:00|00:00:00|00:00:00|06:29:08|00:07:38|kasir@127.0.0.1|TLU4|G261
2024-11-19|2024-11-20 06:26:19|06:32:04|06:32:08|00:00:00|06:32:33|00:00:00|00:00:00|00:00:00|06:42:13|00:10:05|kasir@127.0.0.1|TIUZ|G148
