kdcab|nama_cabang|shop|nama_toko|stock_14_20131352|stock_20_20131352|stock_14_20131353|stock_20_20131353|stock_14_20131354|stock_20_20131354|sales_qty_20131352|sales_qty_20131353|sales_qty_20131354
G301|SURABAYA|F0ZX|APARTEMEN THE SAMATOR|0|0|0|0|0|0|17|20|22
G301|SURABAYA|F13U|ANTARTIKA|0|0|0|0|0|0|3|2|5
G301|SURABAYA|F1CC|RAYA KEMIRI|0|0|0|0|0|0|7|3|6
G301|SURABAYA|F1FY|TARIK SIDOARJO|0|0|0|0|0|0|0|2|4
G301|SURABAYA|F1V7|THE TAMAN DHIKA|0|0|0|0|0|0|7|13|4
G301|SURABAYA|F20H|KUTISARI UTARA|0|0|0|0|0|0|5|8|1
G301|SURABAYA|F23Q|PEPELEGI|0|0|0|0|0|0|3|3|6
G301|SURABAYA|F2HH|ARTERI PORONG 2|0|0|0|0|0|0|5|6|1
G301|SURABAYA|F2JE|YKP PENJARINGANSARI|0|0|0|0|0|0|2|3|4
G301|SURABAYA|F2NA|KETINTANG MADYA|0|0|0|0|0|0|3|12|0
G301|SURABAYA|F2XX|BLURU PERMAI|0|0|0|0|0|0|1|5|9
G301|SURABAYA|F32L|RATU AYU|0|0|0|0|0|0|3|7|6
G301|SURABAYA|F37Q|PRAPEN INDAH|0|0|0|0|0|0|7|9|1
G301|SURABAYA|F424|DELTA SARI|0|0|0|0|0|0|0|3|16
G301|SURABAYA|F425|PEJAYA|0|0|0|0|0|0|1|0|10
G301|SURABAYA|F435|MUTIARA CITRA ASRI|0|0|0|0|0|0|0|1|0
G301|SURABAYA|F468|WAGE SIDOARJO|0|0|0|0|0|0|4|9|7
G301|SURABAYA|F49F|SAIMBANG|0|0|0|0|0|0|0|4|2
G301|SURABAYA|F4AK|CENTRAL PARK WIGUNA|0|0|0|0|0|0|0|1|0
G301|SURABAYA|F4H9|SEMAMPIR NIAGA CENTER|0|0|0|0|0|0|1|2|1
G301|SURABAYA|F56L|ALAM PESONA|0|0|0|0|0|0|4|10|0
G301|SURABAYA|F5AH|THE GRAHA RESIDENCE|0|0|0|0|0|0|1|1|2
G301|SURABAYA|F5MI|KEDUNGTURI 2|0|0|0|0|0|0|2|4|4
G301|SURABAYA|F5N6|KAHURIPAN  NIRWANA|0|0|0|0|0|0|1|8|8
G301|SURABAYA|F5SF|INJOKO|0|0|0|0|0|0|1|2|5
G301|SURABAYA|F5WF|TAMAN INDAH REGENCY|0|0|0|0|0|0|5|7|12
G301|SURABAYA|F5YX|SEKOLAHAN|0|0|0|0|0|0|4|11|11
G301|SURABAYA|F6N6|SUKOBOHAR|0|0|0|0|0|0|0|17|0
G301|SURABAYA|F6NZ|JATISARI 2|0|0|0|0|0|0|3|5|7
G301|SURABAYA|F6OF|GREEN MANSION|0|0|0|0|0|0|2|3|4
G301|SURABAYA|F74A|PECABEAN|0|0|0|0|0|0|0|3|2
G301|SURABAYA|F76L|SULTAN AGUNG|0|0|0|0|0|0|0|3|5
G301|SURABAYA|F77C|KLUDAN|0|0|0|0|0|0|3|7|0
G301|SURABAYA|F7KV|LAJUK SIDOARJO|0|0|0|0|0|0|1|6|0
G301|SURABAYA|F7XK|VILLA JASMINE 2|0|0|0|0|0|0|1|3|2
G301|SURABAYA|F80B|BALAS KLUMPRIK|0|0|0|0|0|0|1|2|5
G301|SURABAYA|F85R|TAMAN KRIAN REGENCY|0|0|0|0|0|0|0|4|5
G301|SURABAYA|F8N5|ASEM BAGUS|0|0|0|0|0|0|4|6|0
G301|SURABAYA|F8WN|PALM SQUARE|0|0|0|0|0|0|2|2|0
G301|SURABAYA|F921|JERUK GAMPING|0|0|0|0|0|0|2|8|3
G301|SURABAYA|F984|PURI INDAH|0|0|0|0|0|0|1|7|8
G301|SURABAYA|F9IU|ANJASMORO TROPODO|0|0|0|0|0|0|3|5|3
G301|SURABAYA|FAI9|DUKUH KUPANG 22|0|0|0|0|0|0|2|0|0
G301|SURABAYA|FBVQ|KEDUNGTURI|0|0|0|0|0|0|3|0|1
G301|SURABAYA|FC80|DELTASARI INDAH|0|0|0|0|0|0|1|8|0
G301|SURABAYA|FC82|BALONG GABUS|0|0|0|0|0|0|4|4|0
G301|SURABAYA|FC9Z|SINGKALAN KM 42|0|0|0|0|0|0|0|0|5
G301|SURABAYA|FCGP|RADEN PATAH 89|0|0|0|0|0|0|8|6|0
G301|SURABAYA|FCLV|GRAHA KOTA|0|0|0|0|0|0|2|0|6
G301|SURABAYA|FCNL|TLASIH|0|0|0|0|0|0|1|0|0
G301|SURABAYA|FD41|PONDOK  MARITIM|0|0|0|0|0|0|1|7|0
G301|SURABAYA|FD42|TANGGULANGIN 4|0|0|0|0|0|0|0|8|0
G301|SURABAYA|FD51|RUNGKUT MENANGGAL|0|0|0|0|0|0|5|18|0
G301|SURABAYA|FDBM|BRINGIN KULON|0|0|0|0|0|0|2|4|3
G301|SURABAYA|FDN0|APARTEMEN MY TOWER|0|0|0|0|0|0|2|4|1
G301|SURABAYA|FDT2|RUNGKUT ASRI TIMUR 2|0|0|0|0|0|0|2|6|0
G301|SURABAYA|FDTT|PARK ROYAL|0|0|0|0|0|0|1|3|1
G301|SURABAYA|FE6H|JADE SUDIMORO|0|0|0|0|0|0|1|1|1
G301|SURABAYA|FEF5|NGEMPLAK|0|0|0|0|0|0|2|4|1
G301|SURABAYA|FEGS|WISMA TROPODO II|0|0|0|0|0|0|0|0|5
G301|SURABAYA|FEQL|SEKAWAN ANGGUN|0|0|0|0|0|0|0|7|6
G301|SURABAYA|FEVO|GRIYA PERMATA GEDANGAN|0|0|0|0|0|0|1|3|7
G301|SURABAYA|FF35|KETINTANG 2|0|0|0|0|0|0|6|10|1
G301|SURABAYA|FF3Q|BLURU KIDUL|0|0|0|0|0|0|0|0|5
G301|SURABAYA|FFNK|RANDU ASRI|0|0|0|0|0|0|2|2|8
G301|SURABAYA|FGJK|MANDIRI RESIDENCE|0|0|0|0|0|0|3|2|5
G301|SURABAYA|FGL1|KAHURIPAN NIRWANA AVENUE|0|0|0|0|0|0|5|8|10
G301|SURABAYA|FH28|RAYA JENGGOT|0|0|0|0|0|0|4|1|3
G301|SURABAYA|FI3B|APARTEMEN WATER PALACE A|0|0|0|0|0|0|5|0|7
G301|SURABAYA|FI7A|TAMBAK REJO|0|0|0|0|0|0|0|4|0
G301|SURABAYA|FIEP|KAHURIPAN NIRWANA 2|0|0|0|0|0|0|1|11|13
G301|SURABAYA|FIJH|JUMPUT REJO 2|0|0|0|0|0|0|2|2|4
G301|SURABAYA|FIN6|CANDINEGORO|0|0|0|0|0|0|10|25|24
G301|SURABAYA|FIRF|PULO WONOKROMO|0|0|0|0|0|0|10|4|2
G301|SURABAYA|FITO|RUNGKUT KIDUL|0|0|0|0|0|0|3|5|0
G301|SURABAYA|FJ05|SAFE N LOCK|0|0|0|0|0|0|0|1|1
G301|SURABAYA|FJJK|SPAZIO|0|0|0|0|0|0|8|0|0
G301|SURABAYA|FJM1|RAYA ANGGASWANGI|0|0|0|0|0|0|3|4|3
G301|SURABAYA|FJRR|ALAM JUANDA|0|0|0|0|0|0|2|8|12
G301|SURABAYA|FK83|MEDOKAN SAWAH TIMUR|0|0|0|0|0|0|4|3|5
G301|SURABAYA|FKLI|CITRA HARMONY|0|0|0|0|0|0|1|5|7
G301|SURABAYA|FL4B|PRAMBON|0|0|0|0|0|0|2|8|3
G301|SURABAYA|FL83|TAMAN CANDILOKA|0|0|0|0|0|0|4|7|0
G301|SURABAYA|FLRP|TANGGULANGIN 5|0|0|0|0|0|0|2|7|2
G301|SURABAYA|FLTX|SEDATI GEDE 56|0|0|0|0|0|0|0|0|10
G301|SURABAYA|FM2O|RAYA SIWALAN PANJI|0|0|0|0|0|0|2|3|6
G301|SURABAYA|FMH7|LINGKAR BARAT 2|0|0|0|0|0|0|0|4|4
G301|SURABAYA|FMI9|BENDUL MERISI 6|0|0|0|0|0|0|5|4|2
G301|SURABAYA|FMOE|RUNGKUT ASRI TIMUR|0|0|0|0|0|0|3|3|11
G301|SURABAYA|FN0Q|GRAND SURYA|0|0|0|0|0|0|9|6|0
G301|SURABAYA|FNE4|JANGANASEM|0|0|0|0|0|0|3|9|0
G301|SURABAYA|FNKE|TAMAN SUKODONO REGENCY|0|0|0|0|0|0|3|1|3
G301|SURABAYA|FNTX|GREEN PUSPA ASRI|0|0|0|0|0|0|0|16|0
